"Subject Code","Catalog Number","Description"
"ACCT","40163","Prerequisites: Must be a declared Business major or a student for whom the course is required by their major/minor/concentration; completion of ACCT 20353 or 20653.  An introduction to concepts, principles, and tools for decision makers to interpret and use accounting information within all functional areas of business.  Topics include financial statement analysis, budgeting, performance evaluation, variance analysis, inventory management, and capital budgeting."
"ACCT","40223","3 hours. Prerequisites: ACCT 30153, INSC 20263. At least a grade of C- in each prerequisite course, and must be a declared Business major.  An introduction to the fundamental concepts related to the design and effectiveness of internal controls. Students are introduced to methods to evaluate the system of internal controls including the use of data analytics."
"ACCT","40253","3 hours.  Prerequisites: ACCT 30253 with at least a 'C-' and must be an Accounting major.  Intensive study of additional financial reporting topics beyond those encountered in Financial Reporting I and II with an emphasis on helping students to develop an appreciation for ambiguity in the financial reporting for complex issues."
"ACCT","40970","(1-6 semester hours) This course may be repeated for credit, and must be a declared Business major."
"ACCT","50970","-"
"ACCT","55153","3 hours. Prerequisite: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor permission. The analysis and use of information contained in corporate financial statements by equity and credit analysts, management, and auditors, including an understanding of the limitations and inadequacies of published financial statements."
"ACCT","55200","Prerequisites:  Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor permission.  Business Intelligence & Accounting Analytics combines financial and operational data with mining tools to improve the timeliness and quality of inputs to decision processes.  It encompasses both top-down (confirmatory or hypothesis driven) analysis using traditional statistical techniques and bottom-up (exploratory) analysis using database and machine learning techniques to discover regularities, relations, or local structure/patterns that are at first unknown.  The topics and related methods discussed include information retrieval and enterprise reporting, classification, predictive modeling, clustering, association rules mining, and social network analysis.  The application of these methods are illustrated using modern software tool via examples, homework assignments and group term projects."
"ACCT","55250","1.5 hours. Prerequisite: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor permission. This course includes advanced problems and research in the application of auditing standards; internal control evaluations; audits of accounting information systems; and auditor's ethical, legal, and reporting obligations."
"ACCT","55253","3 hours. Prerequisites: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor  permission. Coverage of financial reporting issues associated with combinations of business organizations, including consolidations, inter-company transactions, and re-measurement of foreign-currency-denomated financial statements. This course also includes deeper investigation of financial reporting topics covered in previous courses as well as topics beyond the scope of previous courses."
"ACCT","55303","3 hours. Prerequisite: Enrollment in the MAc program; or ACCT 30303; or instructor permission. Provides an overview of the tax laws related to corporations and flow-through entities."
"ACCT","55350","1.5 hours. Prerequisite: Enrollment in the MAc program; or ACCT 30303 and credit for or concurrent enrollment in ACCT 55303; or instructor permission. Examines major features of US and international tax systems, and analyzes the tax proposals and policies that are likely to dominate debate in the next decade."
"ACCT","55410","Prerequisites: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor permission. The objectives of this course are to further develop the broad range of communication-related skills necessary for a successful professional career in accounting. Specific topics to be addressed include business writing, organizing and delivering persuasive presentations, communication styles, providing feedback, managing resistance, and working in a diverse environment."
"ACCT","55450","1.5 credits. Prerequisites: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or permission of the instructor. Addresses moral reasoning and decision making in an accounting context. Tools for addressing ethical dilemmas are addressed from a personal and organizational framework. Case studies are used to develop moral reasoning skills."
"ACCT","55460","1.5 credits. Prerequisites: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or permission of the instructor. This course is designed to further enhance students' ethical decision-making in relation to issues faced by accounting professionals. The course focuses on ethical reasoning and decision-making, integrity, objectivity, independence, professionalism and other core values of the accounting profession."
"ACCT","55550","1.5 hours. Prerequisite: Enrollment in the MAc program; or ACCT 30273 and credit for or concurrent enrollment in ACCT 40253; or instructor permission. This course examines current topics in the professional services of advisory and valuation. Specifically, we discuss valuation of business and the contributing factors to business valuation including market reactions, economic changes, and financial reporting requirements. Emphasis is placed in developing students' ability to synthesize information and effectively communicate decisions in writing."
"ACST","10000","-"
"ADRN","10001","This course provides opportunities for premajors to assess abilities, interests, values, and personality; meet with faculty from a variety of potential major and minor fields; learn about the decision-making process and factors related to choosing a major/career.  (This course is only offered P/NC.)"
"ADRN","10200","Transfer work"
"ADRN","20101","Prerequisites: any AddRan College major or School of Interdisciplinary Studies major or minor with at least sophomore standing.   This eight-week course will prepare students to enter the job market, and to be effective in their job search.  Students will learn how to articulate their marketable skills, to identify their strengths, and to determine what types of jobs are available for their transferable skills and major.  They will learn how to create an effective resume and cover letter, and will practice their networking and interviewing skills.  (This course is only offered as P/NC.)"
"ADRN","20103","This discussion-based course uses documentaries and movies to highlight the history, traditions, and lifestyles of specific cultures, communities and societies."
"ADRN","20203","Much attention has been given to the stress college students are under today. To address this, the course considers what it means to live a 'mindful' life today. What kind(s) of thinking and practice does such a life entail? How would it fit into a busy college student's life? This course will address these questions through both theory and practice. It will range from traditional Buddhist ideas to modern science, from classic liberal arts reflection to contemporary mindfulness exercises. We will consider how practice and reflection influence one another, and how we engage in personal relationships, society, and the natural world. After beginning most classes with a 10-minute meditation, we will discuss the day¿s assignment. We will then generally do another practice and end with a circle of discussion."
"ADRN","20900","An examination of the concept and practice of leadership and various ideals of leadership from various points of view in the humanities and social sciences. Models of the ""good leader"" from a variety of sources will be analyzed and compared. A number of famous historical leaders will be evaluated in terms of the models presented."
"ADRN","20970","This course is to be used for interdisciplinary or multidisciplinary courses within AddRan College.  It is for variable credit (1-3 semester hours.)"
"ADRN","30503","The course will focus on the close study of liberal arts sources from a variety of disciplines and perspectives and engage students in deep and sustained discussion and analysis of the challenges and opportunities of AI. It will also invite and encourage students and participating faculty into hands-on play and experimentation with AI."
"ADRN","30970","Special Problems in Interdisciplinary Studies or experimental course.  (1-3 credits)"
"ADRN","31903","This course is aimed at introducing participants to the cultural and socio-political development of Ghana through a four-week intensive, interdisciplinary study and travel-abroad experience in this West African nation.  It is expected that participants will come away with a sense of the vast differences manifest in the way human societies work and, at the same time, develop a sincere respect for these differences.  Course is open to students of all majors.  Instructor's permission is required."
"AEST","10001","Leadership Lab (LLab) is the hands-on leadership training portion of the Air Force ROTC program.  The Leadership Lab (LLab) also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers. The AS3000 and AS4000 LLabs consist of activities classified as leadership and management experiences. They involve the planning and controlling of military activities of the cadet corps; and the preparation and presentation of briefings and other oral and written communications.  LLabs also include interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets.  (This course is only offered as P/NC.)"
"AEST","10211","Air Force AEST 10211 in the fall and 10221 in the spring:  A survey course designed to introduce students to the U.S. Air Force and Air Force ROTC. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and an introduction to communication skills. Leadership Laboratory 10001 complements this course by providing cadets with followership experiences."
"AEST","10221","Air Force AEST 10211 in the fall and 10221 in the spring:  A survey course designed to introduce students to the U.S. Air Force and Air Force ROTC. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and an introduction to communication skills. Leadership Laboratory 10001 complements this course by providing cadets with followership experiences."
"AEST","20211","Team and Leadership Fundamentals (AEST 20211 in the fall and 2022 in the spring): A survey course designed to provide a basic understanding of both leadership and team building fundamentals. In this course, students will apply learned leadership perspectives while completing team building activities and discussing various leadership topics (i.e., conflict management, motivation, ethical decision-making, etc.). Additionally, students will be introduced to, and practice, basic verbal and written communication skills to develop effective thinking, writing, and speaking proficiencies. Students are taught from the beginning that there are many layers to leadership, including aspects that are not typically associated with these topics. Such aspects include listening, self-assessment/self-reflection, being a good follower, and problem solving efficiently. As a whole, this course provides the student with a knowledge level understanding of the general elements of leader development and effective teamwork. Furthermore, students will continue to discuss the importance of the Air Force Core Values with the use of operational examples and historical Air Force leaders. Leadership Laboratory I000I complements this course by providing cadets with followership experiences."
"AEST","20221","Team and Leadership Fundamentals (AEST 20211 in the fall and 2022 in the spring): A survey course designed to provide a basic understanding of both leadership and team building fundamentals. In this course, students will apply learned leadership perspectives while completing team building activities and discussing various leadership topics (i.e., conflict management, motivation, ethical decision-making, etc.). Additionally, students will be introduced to, and practice, basic verbal and written communication skills to develop effective thinking, writing, and speaking proficiencies. Students are taught from the beginning that there are many layers to leadership, including aspects that are not typically associated with these topics. Such aspects include listening, self-assessment/self-reflection, being a good follower, and problem solving efficiently. As a whole, this course provides the student with a knowledge level understanding of the general elements of leader development and effective teamwork. Furthermore, students will continue to discuss the importance of the Air Force Core Values with the use of operational examples and historical Air Force leaders. Leadership Laboratory I000I complements this course by providing cadets with followership experiences."
"AEST","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average.	"
"AEST","30113","AEST 30113 is a study of leadership, management fundamentals, professional knowledge, leadership ethics and the communication skills required of a junior military officer.  Case studies are used to examine leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied.  Course objective is for student to comprehend and apply the concepts of ethical behavior as well as comprehend the selected concepts, principles and theories of leadership and management."
"AEST","30123","Prerequisite: AEST 30113 or permission of the instructor.  AEST 30123 builds upon the concepts established in AEST 30113.  Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied.  Course objective is for the student to comprehend and apply the concepts of conflict management, mentorship and counseling in a military environment, understand the principles of leadership authority and responsibility as it pertains to the military officer."
"AEST","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"AEST","40113","Course is designed to examine the national security process, regional studies, advanced leadership ethics, and Air Force doctrine.  Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military and current issues affecting military professionalism.  Course objective is for student to comprehend basic elements of national security policy, Air Force functions and competencies and role of the military as it pertains to national security policy."
"AEST","40123","Prerequisite: AEST 40113 or permission of the instructor.  AEST 40123 builds upon the concepts established in AEST 40113.  Course is designed to examine the national security process, regional studies, advanced leadership ethics, and Air Force doctrine.  Special topics of interest focus on responsibility, authority and functions of an Air Force Commander, the military Major Commands Area of Responsibilities, basic introduction of military law and the Code of Conduct."
"ANTH","10000","Transfer work with TCUCC-SSC credit."
"ANTH","10200","General Transfer Credit"
"ANTH","10433","Topics may vary each time it is offered."
"ANTH","10500","Cultural Anthropology-Transfer Credit, carrying UCR and TCU CC Social Science credit."
"ANTH","10510","Intro to Archaeology - Transfer Credit, carrying UCR and TCU CC Social Science Credit."
"ANTH","10520","General Anthropology - Transfer Credit, carrying UCR and TCU CC Social Science credit."
"ANTH","10533","Topics may vary each time it is offered."
"ANTH","20613","An introduction to the theories and methods of physical anthropology.  Scientific study of human origins and evolution as reconstructed from the fossil record; patterns of anatomical, behavioral, and genetic similarities among the primates; applications of physical anthropology, such as forensic anthropology."
"ANTH","20623","An introduction to the theories and methods of cultural anthropology.  Comparative study of modern and historic cultures around the globe.  Exploration of the meanings ascribed to human experience.  Emphasis on such topics as: relativism, culture change, kinship, gender, globalization, identity, religion, sexuality, ritual, social stratification, ethnicity."
"ANTH","20633","An introduction to the theory, methods, and techniques of archaeology and a review of selected findings.  History and development of archaeology, field and laboratory methods, the evolution of humanity and culture, reconstruction and processual interpretation."
"ANTH","20643","An introduction to linguistic anthropology.  Anthropological analysis of the cultural and social aspects of language.  Topics may include: linguistic relativism, performance theory and the ethnography of language, bilingualism and multiculturalism, sociolinguistics, legitimate languages and linguistic variation, and language and the constitution of personhood and structures of authority."
"ANTH","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","30003","Prerequisite: Permission of Instructor."
"ANTH","30233","The purpose of this course is to introduce students to the concept of sustainability from a multidisciplinary perspective.  Sustainability includes a focus on the environment, social justice issues, and economic development that provides the basic needs for sustaining an acceptable quality of life.  A focus on the global implications will be stressed and students will explore the connections between sustainability and citizenship and social values."
"ANTH","30303","Why do many people love butterflies, but fear bats?  In 'into the Small' we will explore questions like these using multiple senses and cross-cultural perspectives, and then produce artworks in the contexts of galleries and museum exhibits to share what we find out."
"ANTH","30313","Food and Culture explores food production, distribution, and consumption for practical and symbolic objectives.  The course focuses on the symbolism as an expression of ethics that shape people's individual and collective identities.  Toward this end, the course addresses heritage foods and identities at risk due to a change from regional, cottage production to mass production for worldwide distribution.  The course also looks at identity in relation to politics and gender.  Students learn qualitative research skills, which they apply to a semester-long project in a food-related venue, discovering the ethical moorings of a food micro-culture.  Students learn skills for understanding culture through food, applicable to careers and travel in domestic and foreign settings."
"ANTH","30323","Course undertakes a comparative study in transnational migration to explore migrant life as related to economic condition and politics of public policy, state security, citizenship, identity, religion, and nativism."
"ANTH","30333","Prerequisites:  ENGL 20803.  The course examines expressive culture that reflects and shapes the way people think, behave, and give their lives meaning.  The expressive culture includes history, literature, and lore considered as resources for people to address their needs and circumstances, especially in relation to social positions, gender, self-identification, politics, and ethics.  Other topics include U.S. Mexico relations, social conflict, resistance movements, religion, and cultural poetics.  Student cannot receive credit for ENGL 55713 and ENGL 30713."
"ANTH","30373","Prerequisite: ANTH 20623 or consent of instructor.  Cross-cultural survey of cultural diversity and similarity in the interpretation of health, illness, and healing systems.  Examines the interrelationship of culture, society, and health from local and global perspectives.  Particular emphasis on the interactions of western and other medical systems."
"ANTH","30383","Prerequisites: ANTH 20623 or 20643, or the professor's permission.  This course introduces students to the components of qualitative research, including project design, participant observation, interviews, field notes, and the use of oral, archival, and written history.  These techniques contribute to student research projects and ethnographic writing."
"ANTH","30403","This course examines topics and perspectives on human-animal relationships (HARE) from multiple disciplines within the humanities, social sciences, and natural sciences.  We will explore the complex relationships between humans and other animals, past and present, including the socially constructed meanings of animals that shape animal/human interactions and relations within institutions and social, cultural, geographic and interactional contexts.  We will consider many types of relationships between human and nonhuman animals, both beneficial and detrimental, as well as the trends that are impacting the future of animal/human relations on the planet."
"ANTH","30433","Analysis and methods in the study of traditional customs and beliefs of Mexican-Americans.  Topics may include storytelling and joking, popular religion, ethnomedicine, ethnic identity rituals, and folk art."
"ANTH","30533","Prerequisites:  C- or better in ANTH 20623 or instructor permission.  Explores anthropological and economic perspectives on happiness and human flourishing:  the diverse ways in which well-being is conceptualized and experienced in different cultural contexts, the complex relationship between well-being and economic growth, and cross-disciplinary inquiry into the conditions and activities (such as community, ecology, dignity, creativity, generosity, trust, health, and inequality) that engender or impede human flourishing."
"ANTH","30623","Development and characteristics of urban societies and the culture of modern cities.  Evaluation of theories and methods for understanding the structure, function and change in the social and cultural systems of urban areas."
"ANTH","30633","The relationship between social science and the study of sports and other play forms; games and play in cross-cultural contexts; American sports and recreation."
"ANTH","30643","A comparative study of the teaching and learning processes in societies of differing complexity and cultural variability.  Empirical data is examined from an anthropological perspective and in the context of theories about culture and perception, world view, rites of passage, culture and personality, and change."
"ANTH","30653","Prerequisites: ANTH 20623 or WOST 20003, or consent of the instructor.  Explores the anthropological significance of sex and gender as multifaceted and diverse categories of human experience across a broad range of cultures.  Studies of sexual orientation, gender identity, reproduction, cultural politics, health, and sociocultural inequalities."
"ANTH","30663","Discusses the intersection of food and justice.  Investigates injustices generated by the current U.S. food system and by global agribusiness against farm workers in Mexico and the U.S. against residents of underprivileged communities in U.S. cities.  Explores possible solutions to these injustices, including fair trade, urban agriculture, food banks, and food policy councils.  Students will design an experiential, service learning group project in conjunction with TCU and community partners.  (offered as ANTH or SOCI credit)"
"ANTH","30673","Prerequisites: ANTH 20623, RELI 10023 or RELI 10043 or consent of the instructor.  Anthropological findings in the comparative study of religion and culture across a broad range of societies.  Studies of sacred experience, myth, ritual, magic, witchcraft, religious language, gender and religion, healing, and relationships between social and religious change."
"ANTH","30703","An archaeological survey of the ancient cultures of Mexico and Andean South America, from the first human migrations into the Americas to the Aztec and Inka empires.  Anthropological perspectives on developmental sequences and achievements of major indigenous civilizations in both culture areas are discussed and compared."
"ANTH","30713","Prerequisite: ANTH 20633 or consent of instructor.  An in-depth treatment of basic techniques, methods and concepts of archaeology and a continued update in recent archaeological discoveries around the globe.  Research using published site reports and professional journals.  Site visitations to excavations in process will be initiated whenever applicable."
"ANTH","30723","Origin and distribution of the native populations of selected areas. The historical development and current perspectives of institutions, belief and value systems, and comparative organization of cultural areas. Possible areas to be examined include Native North Americans, peoples of South America, and peoples of Africa."
"ANTH","30733","Prerequisites:  ANTH 20623 or instructor permission.  The course explores globalization's human impacts as understood through the lenses of development, public policy, economics, trade, and migration (among others).  The course defines ethics and explores steps toward their realization in three areas in particular: (1) resolutions to social problems, (2) advancement of social justice, and (3) students' career paths."
"ANTH","30743","Comparative approach to exploring the roles of animals in world and indigenous religions, past and present, including Christianity, Hinduism, Islam, Judaism, and Native American traditions.  Topics include who counts as a religious subject, or person; how focusing on animals can help us better understand religion in general; hunting and farming; animal sacrifice; pets; biotechnology; climate change; conservation; fear & awe; animal theology; and whether other animals themselves might be religious.  Discussion-based, coupled with mini-lectures, video screenings, and experiential ""meditations.:"
"ANTH","30763","Prerequisites: Either one RELI or one ANTH course, or permission of instructor.  This course studies the cultures of Syria-Palestine and TransJordan from approximately 1550-332 BCE by identifying and interpreting the relevant archaeological data and anthropological findings.  It will explore various aspects of these ancient cultures, including the region's economic, political, environmental, and social relations, as well as its religious expressions and ethnic identities.  Additionally, students will consider the significance of archaeological material and anthropological models for reconstructing and interpreting these cultures and for understanding the Hebrew Bible as a cultural and historical document."
"ANTH","30773","Prerequisite: ANTH 20623 or consent of instructor.  Anthropological perspectives on the relationship of Latin American pop culture to Latin American societies.  Examines everyday cultural productions, such as dance, music, soccer, television, soap opera, Carnival, and other festivals.  Particular attention given to popular culture as a key site where national, racial, gender, sexual, and class identities are constructed, commodified, contested, and globally circulated.  Cultural case studies may include: Brazil, Mexico, Argentina, and Cuba."
"ANTH","30783","Explores the complex interrelationships between people's spiritual beliefs and the environment.  Comparative, cross-cultural approach to key features of selected work and indigenous religions, such as cosmologies, sacred lands, agriculture, and animals.  Also examines emerging approaches to environment and religion, including ecofeminist spirituality; environmentalism as spiritual practice and civic religion; new green religious movements; and contemporary religious responses to the environmental crisis."
"ANTH","30823","Explores religious beliefs related to the environment and subsistence among Native North American Indian peoples.  Investigates topics such as sacred stories and folktales, art and dance, rites of passage, health and healing, and hunting and agricultural rituals.  Discusses the changing roles Native American religious beliefs have plays among both native and Euro-American peoples since the time of first contact, from the crafting of pan-tribal native identities to New Age appropriations of sweat lodges and vision quests."
"ANTH","30843","Prerequisites: ANTH 20623, or consent of the instructor.  An examination of applied anthropology, the use of anthropological perspectives, values, data, theories, methodologies and skills for practical purposes n the real world.  Explores the varied domains in which anthropologists practice, the methodologies employed in their work and the ethical and practical problems they face.  Surveys potential work sites for anthropologists, examines the skills necessitated by such jobs and explores resources on career preparation and development."
"ANTH","30923","Topics of interest in anthropology, including substantive areas of the discipline."
"ANTH","30933","An examination of world cultures based on the results of information secured by technologists and archaeologists working in the field. The topical focus may vary each semester."
"ANTH","30943","An overview of Japanese history and major cultural traditions.  Japanese society will be looked at from its origins through the Tokugawa period and onto modern Japan.  Religious traditions and cultural perspectives will be highlighted.  Additionally, the place of modern Japan in the global community will be examined."
"ANTH","30973","The course explores French and migrant culture from diverse perspectives.  It incorporates readings and films about migration history, economies of labor, politics, identity, citizenship, and civic responsibilities."
"ANTH","30983","Prerequisite: ANTH 20623, ANTH 20633 or permission of instructor.  This course is offered as either a cultural anthropology or archaeology field school.  Phases, methods, and problems of collection and processing in field and laboratory of ethnographic and archaeological data.  Issues of public interaction, participant-observation, interviewing, survey, and excavation are addressed as appropriate to the setting."
"ANTH","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","31990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","32990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","37990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","39990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","39990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ANTH","40003","Senior Honors Research Paper"
"ANTH","40214","In-depth introduction to human skeletal anatomy including how to identify individual bones, important morphological features on them, and soft tissues that attach to them.  Also covers using bones to recover sex, age at death, ancestry, etc., and explores applications in bioarchaeology, forensic anthropology, and other disciplines.  Primarily intended for archaeologists and biological anthropologists, but also of interest to students considering careers in forensics, paleontology, or medicine.  Weekly laboratory section is required."
"ANTH","40423","Prerequisites: ANTH 20623 or consent of instructor.  An anthropological examination of the relationship between violence and culture.  Ethnographic cases of violence in many different regions, such as Latin America, sub-Saharan Africa, South Asia, and Western Europe.  Topics may include: civil war, ethnic conflict, crime and the structural 'violences' of poverty, racism, gendered violence, famine and disease, and the cultural construction and social consequences of fear."
"ANTH","40433","Prerequisite: Junior standing or permission of instructor.  This course explores ongoing processes that link economic systems, multinationals, supranational institutions, armed conflict, poverty, and prosperity in different parts of the world, combining macro and local, native perspectives.  Students learn theoretical frameworks and their application to develop ethics that may orient future endeavors in graduate training and professional life."
"ANTH","40523","Prerequisite: ANTH 20623 or consent of instructor.  An anthropological examination of the relationship between mass media and culture.  Particular emphasis on the impact of mass media on the production and consumption of cultural meaning and identities.  Inquiry into representations of gender, sexuality, the body, ethnicity, social race, and nationhood in mass media discourses.  Case studies of mass media in local spaces and global contexts."
"ANTH","40620","For upper-division students who undertake projects in anthropology in regular consultation with the instructor, for one to three semester hours credit."
"ANTH","50623","An overview of the field, including archaeology, linguistics, ethnology, and physical anthropology.  Description and analysis of the profession, its history, theoretical foci, intellectual leaders and current ethical dilemmas.  For advanced undergraduates and graduate students with opportunities to pursue individual interests within the field."
